date,mean_temperature,max_temperature,min_temperature
2004-01-01,21.537500000000005,24.1,18.4
2004-01-02,21.662500000000005,25.6,16.7
2004-01-03,22.79583333333333,26.5,18.6
2004-01-04,23.274999999999995,26.6,18.5
2004-01-05,23.73333333333333,27.2,20.3
2004-01-06,24.533333333333335,27.4,21.6
2004-01-07,25.058333333333326,28.0,22.9
2004-01-08,24.295833333333334,27.9,20.7
2004-01-09,25.14583333333334,28.8,22.1
2004-01-10,25.1375,28.2,22.0
2004-01-11,24.90434782608695,28.7,21.2
2004-01-12,24.462500000000002,27.0,22.1
2004-01-13,23.95,27.9,20.5
2004-01-14,23.529166666666658,28.4,20.8
2004-01-15,24.52916666666667,28.8,21.4
2004-01-16,24.729166666666668,28.2,21.3
2004-01-17,24.254166666666666,28.5,21.6
2004-01-18,24.11666666666666,26.9,20.9
2004-01-19,24.075,27.1,20.8
2004-01-20,24.370833333333334,26.7,21.0
2004-01-21,23.675,25.9,21.9
2004-01-22,23.125,26.4,21.7
2004-01-23,25.03333333333333,28.5,22.2
2004-01-24,24.491304347826098,24.491304347826095,24.491304347826095
2004-01-25,24.52916666666667,28.1,22.8
2004-01-26,24.14583333333334,25.8,22.4
2004-01-27,23.462500000000002,27.2,21.7
2004-01-28,24.678260869565218,24.678260869565218,24.678260869565218
2004-01-29,26.212500000000002,28.8,23.6
2004-01-30,26.72916666666667,30.3,24.0
2004-01-31,26.38333333333334,31.1,22.8
2004-02-01,26.58333333333333,31.8,23.3
2004-02-02,26.825,31.9,23.1
2004-02-03,26.141666666666662,29.0,22.9
2004-02-04,27.441666666666663,31.4,23.5
2004-02-05,25.983333333333334,30.5,24.1
2004-02-06,24.74166666666667,27.2,21.7
2004-02-07,22.73333333333333,25.9,19.0
2004-02-08,22.500000000000004,26.3,19.3
2004-02-09,23.987499999999997,27.5,19.7
2004-02-10,23.60416666666666,27.2,19.8
2004-02-11,24.599999999999998,28.1,20.7
2004-02-12,24.533333333333335,27.9,21.0
2004-02-13,24.53478260869565,26.6,21.6
2004-02-14,24.675,26.1,22.9
2004-02-15,23.654166666666672,26.0,21.6
2004-02-16,23.495833333333337,28.1,18.4
2004-02-17,23.427272727272722,24.84090909090909,19.8
2004-02-18,25.94583333333333,29.0,24.2
2004-02-19,22.575,24.9,18.6
2004-02-20,22.554166666666664,26.9,17.9
2004-02-21,24.23333333333333,28.7,21.3
2004-02-22,24.02083333333334,27.3,21.7
2004-02-23,21.480000000000008,23.0,20.2
2004-02-24,22.5125,26.0,19.0
2004-02-25,23.53333333333333,26.7,19.4
2004-02-26,24.095833333333328,29.3,20.6
2004-02-27,22.20833333333333,29.5,16.9
2004-02-28,22.866666666666664,28.0,18.8
2004-02-29,22.724999999999998,25.5,19.4
2004-03-01,22.75905797101449,24.7,20.4
2004-03-02,24.957246376811586,29.4,21.4
2004-03-03,25.147826086956524,25.147826086956524,25.147826086956524
2004-03-04,23.46190476190476,26.4,19.6
2004-03-05,22.120833333333337,26.6,18.7
2004-03-06,23.912499999999998,29.1,19.1
2004-03-07,25.375,29.8,21.0
2004-03-08,25.700000000000003,29.7,22.7
2004-03-09,25.245833333333326,29.3,22.8
2004-03-10,24.505882352941175,28.0,21.4
2004-03-11,24.433333333333348,24.433333333333337,24.433333333333337
2004-03-12,21.65833333333333,24.0,19.9
2004-03-13,23.200000000000006,25.8,20.7
